id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,A1
581,1,3,3,3,5,3,7,1,3,6,5
582,3,5,5,5,3,4,7,-1,6,1,1
583,3,5,6,5,3,3,2,1,1,5,2
584,5,5,2,6,3,7,6,1,1,7,4
585,3,7,3,1,3,6,5,9,6,7,5
586,7,2,3,2,3,7,2,8,5,6,3
587,6,1,3,2,4,5,5,0,2,1,1
588,1,5,2,6,3,3,7,-1,3,7,1
589,1,1,7,4,4,3,2,-2,6,5,7
590,6,7,7,5,5,7,4,8,6,5,5
591,5,5,1,1,3,3,4,-1,1,6,5
592,7,3,2,,3,2,2,9,,5,7
593,6,6,3,4,2,7,4,-2,1,2,7
594,4,5,6,1,3,3,4,9,1,2,6
595,6,7,3,6,5,5,6,1,6,2,5
596,5,2,2,6,6,3,6,-2,1,2,6
597,6,5,4,4,3,3,3,7,3,7,1
598,1,6,5,4,4,7,7,8,6,1,7
599,4,2,6,2,2,2,4,-1,2,5,5
600,2,7,2,6,3,5,4,9,1,2,6
601,6,2,7,1,1,6,4,1,3,6,6
602,7,2,3,2,5,2,2,1,6,6,4
603,6,5,1,1,3,4,2,-2,3,5,7
604,2,3,2,6,5,5,5,1,3,2,6
605,7,7,2,5,5,7,5,-2,1,6,1
606,6,5,4,4,3,5,2,8,5,7,2
607,6,1,6,2,5,3,6,0,6,2,5
608,5,4,2,6,3,4,7,-2,6,2,5
609,3,5,3,1,3,5,6,7,3,1,4
610,1,7,5,7,5,5,5,9,3,5,2
611,4,5,4,3,3,6,3,-2,6,5,4
612,4,5,2,6,3,7,2,0,5,6,1
613,2,2,1,6,6,2,6,7,1,2,3
614,7,4,6,7,6,5,7,-1,2,7,4
615,7,7,3,1,3,5,7,-1,1,6,7
616,7,2,2,6,3,3,4,8,6,5,6
617,7,7,3,2,4,6,4,8,6,6,3
618,2,5,6,4,3,5,3,-1,3,5,2
619,2,5,7,1,6,6,7,9,5,6,3
620,5,7,2,6,5,3,5,9,1,7,6
621,1,5,7,1,3,4,2,-1,6,6,1
622,4,7,5,4,2,4,7,-1,2,5,1
623,7,4,3,5,3,3,4,1,1,2,1
624,5,5,2,6,3,3,3,-2,6,7,3
625,7,7,4,4,5,6,5,0,3,6,7
626,1,1,3,4,5,3,4,8,6,6,4
627,6,5,1,1,3,5,5,9,1,6,2
628,1,6,2,6,3,3,2,-2,1,5,4
629,6,7,1,1,3,6,4,0,1,1,6
630,7,,,1,,,,,3,,
631,2,1,6,7,7,5,6,-1,2,7,5
632,7,4,2,6,5,2,6,8,2,1,7
633,4,5,6,7,3,6,3,8,2,1,4
634,1,3,6,6,3,3,4,-2,6,2,2
635,4,7,7,1,5,4,4,-2,2,5,2
636,2,5,2,6,3,2,6,-2,1,6,6
637,3,7,3,1,4,6,2,9,5,1,3
638,4,5,2,6,3,4,4,0,2,6,3
639,7,5,6,1,3,4,4,7,2,5,3
640,7,7,2,6,5,3,7,1,1,5,5
641,6,3,7,4,2,2,3,1,3,1,3
642,7,5,1,6,3,4,3,8,6,6,1
643,3,4,6,6,2,2,7,1,5,6,1
644,4,7,2,6,3,3,3,-1,3,7,1
645,7,7,7,6,3,4,5,-1,3,7,7
646,7,5,2,6,1,5,4,7,6,6,6
647,3,3,2,6,5,4,5,-2,1,5,6
648,6,5,2,6,3,3,4,9,3,7,3
649,1,2,4,3,7,3,2,8,6,6,2
650,3,,,5,,,,,5,,
651,7,5,3,5,3,5,4,1,2,6,6
652,4,7,2,6,1,6,5,-2,5,5,7
653,2,4,7,3,7,7,4,7,5,6,3
654,7,5,7,3,3,6,6,0,1,5,7
655,6,7,3,7,5,3,5,0,3,6,3
656,6,1,2,6,7,3,4,1,6,7,6
657,6,5,4,1,3,6,3,9,6,1,2
658,7,5,3,5,2,4,4,7,2,6,5
659,4,2,4,2,7,3,4,7,5,5,4
660,3,7,2,6,3,2,2,-1,2,5,7
661,3,7,6,3,6,3,4,-2,3,5,6
662,2,5,7,7,2,6,2,9,1,7,1
663,4,5,2,3,3,6,7,-2,5,5,5
664,6,7,2,6,3,3,4,7,1,6,5
665,6,7,3,2,5,3,2,8,2,1,7
666,6,5,2,1,3,5,4,0,2,5,5
667,7,7,2,5,2,7,7,-1,6,2,4
668,4,4,2,6,6,7,3,0,2,6,2
669,1,5,2,2,3,6,7,9,1,5,2
670,3,7,3,1,5,7,6,8,1,5,4
671,7,2,1,7,1,5,7,1,2,7,4
672,3,5,2,6,3,5,4,-2,3,1,5
673,5,4,4,5,5,3,5,-1,5,7,1
674,2,1,4,5,1,7,5,-1,5,7,1
675,7,7,6,1,3,7,4,1,5,6,2
676,5,1,2,6,4,3,6,0,5,7,3
677,2,7,7,2,5,6,6,1,5,2,1
678,7,5,7,5,3,7,2,-2,2,1,1
679,3,3,3,6,2,3,3,-2,2,1,6
680,7,7,2,6,5,3,7,8,5,1,2
681,6,5,1,7,3,3,3,8,5,7,7
682,1,1,3,1,2,7,6,0,3,6,5
683,7,3,1,6,6,6,4,7,2,6,6
684,3,5,2,6,3,5,5,7,2,6,5
685,1,7,7,5,5,4,2,-2,5,2,7
686,7,1,3,1,1,3,2,-2,2,5,6
687,4,5,7,5,3,6,7,9,3,5,6
688,6,2,2,6,4,3,2,-1,3,2,3
689,6,2,2,7,3,5,4,0,1,6,6
690,5,7,2,1,3,3,5,-1,5,7,2
691,6,7,4,1,4,3,4,1,6,7,7
692,2,1,2,6,1,3,2,8,5,1,5
693,7,5,3,1,3,5,4,9,2,2,5
694,6,4,4,5,5,4,7,0,3,6,2
695,5,7,1,1,5,3,4,9,5,1,2
696,3,5,2,6,3,2,6,0,6,6,1
697,4,5,1,1,6,3,6,-2,1,7,5
698,7,2,4,3,6,6,6,-1,6,5,5
699,4,5,2,3,3,3,4,7,3,6,4
700,1,7,2,6,5,5,5,-2,3,6,2
701,2,5,3,7,2,2,4,-1,6,7,6
702,6,5,1,1,3,3,6,0,1,1,3
703,5,3,5,5,6,4,4,9,2,2,3
704,7,4,2,6,6,3,4,0,3,2,1
705,5,7,7,7,3,3,3,8,3,5,5
706,2,3,2,4,6,6,7,8,6,2,3
707,3,6,3,1,1,5,3,-2,3,5,5
708,2,5,2,6,3,2,3,1,1,5,2
709,1,2,4,6,1,5,5,-2,5,1,2
710,7,7,6,2,5,3,2,1,2,7,7
711,4,5,3,1,3,4,7,8,1,6,5
712,1,2,2,6,3,4,5,0,6,1,4
713,1,3,7,1,2,4,3,0,1,1,7
714,5,5,3,3,3,3,4,9,3,7,7
715,7,7,6,3,5,5,5,-1,3,2,7
716,2,3,2,6,7,5,2,8,1,7,6
717,6,5,4,1,3,7,6,0,6,1,4
718,6,5,4,3,7,3,2,9,1,1,2
719,3,3,7,4,1,6,4,-2,1,1,7
720,2,7,2,6,3,3,5,-2,5,2,1
721,2,3,3,1,7,4,3,0,5,5,7
722,4,4,5,5,1,5,6,8,1,6,2
723,7,5,3,3,3,5,2,1,6,6,4
724,2,1,2,6,3,5,2,-1,3,6,6
725,1,7,6,5,5,7,2,-1,6,7,5
726,4,5,1,6,3,6,6,-2,3,1,5
727,2,7,5,2,3,3,3,9,3,6,5
728,2,6,2,6,1,4,7,0,1,1,4
729,5,5,6,1,3,7,5,-1,3,7,3
730,4,7,7,2,5,3,4,0,6,6,1
731,3,,,5,,,,,3,,
732,1,5,2,6,3,4,4,7,5,6,1
733,6,4,3,2,4,5,4,-2,2,1,5
734,5,6,7,4,2,7,5,-2,3,7,3
735,4,7,3,7,3,3,3,7,2,7,1
736,7,1,2,6,2,5,5,8,6,5,2
737,2,4,3,2,7,5,2,0,3,2,5
738,5,5,3,1,3,2,6,9,3,1,1
739,6,5,6,7,3,4,4,7,2,2,1
740,4,7,2,6,5,5,2,-1,2,2,6
741,7,5,7,2,3,3,7,0,2,7,3
742,3,6,3,7,5,3,3,1,6,5,5
743,4,3,1,4,7,2,6,9,6,2,6
744,2,5,2,6,3,7,4,1,5,7,1
745,4,7,5,1,5,2,3,9,1,2,2
746,3,5,7,,4,3,3,-2,,5,2
747,4,5,7,1,3,6,7,7,5,6,1
748,5,3,2,6,4,2,4,8,6,5,3
749,7,7,3,1,4,5,5,8,1,1,6
750,1,7,3,6,3,3,2,-1,3,6,6
751,1,,,6,,,,,6,,
752,1,3,2,6,1,3,7,1,3,7,7
753,1,5,2,1,3,6,4,0,2,2,5
754,1,3,6,7,4,6,6,-1,3,2,6
755,6,7,7,7,5,4,4,8,1,7,1
756,7,5,2,6,3,4,5,0,3,1,3
757,3,1,1,2,5,7,7,0,2,2,6
758,3,5,1,7,1,6,3,7,3,7,1
759,1,5,3,5,3,4,7,-2,2,5,4
760,7,7,2,6,5,7,4,8,2,7,5
761,3,,,2,,,,,6,,
762,2,5,5,7,3,7,6,9,1,6,4
763,2,7,3,6,2,2,5,9,3,7,1
764,4,3,2,6,3,7,7,9,2,1,4
765,6,7,1,1,3,6,2,8,1,2,5
766,7,7,4,,5,3,4,8,,7,1
767,1,4,3,6,2,3,3,0,2,7,2
768,6,5,2,6,3,6,5,1,2,5,5
769,1,2,7,7,4,6,6,8,6,5,3
770,4,7,3,2,5,7,7,-1,6,1,4
771,6,5,7,5,3,5,4,7,1,2,4
772,3,4,2,6,3,7,4,0,5,5,4
773,6,3,4,5,7,6,5,0,2,7,3
774,5,5,4,,3,2,6,1,,6,6
775,4,7,5,6,5,3,5,1,1,5,1
776,2,5,2,6,3,6,4,0,1,6,4
777,2,5,3,7,3,7,7,-1,1,7,7
778,5,5,7,1,4,3,6,-1,2,5,2
779,6,5,4,6,2,6,4,7,1,6,4
780,6,7,2,6,3,5,4,-2,5,5,1
781,6,5,4,6,4,3,5,9,6,1,7
782,2,4,5,1,2,2,7,-2,6,7,2
783,4,5,5,1,3,7,3,9,5,5,7
784,3,2,2,6,6,3,6,7,1,7,1
785,7,7,6,5,5,7,7,-2,3,7,1
786,2,5,3,4,3,3,6,9,3,7,7
787,1,1,1,1,2,3,4,9,1,2,3
788,2,6,2,6,5,6,2,8,1,5,1
789,2,5,2,5,3,4,6,-1,2,2,6
790,6,7,6,6,5,5,2,7,3,5,2
791,2,6,3,7,6,3,4,1,6,5,3
792,4,5,2,6,3,6,6,-1,5,5,5
793,4,6,2,3,3,2,7,-2,1,1,4
794,6,3,3,5,4,2,4,-2,2,6,6
795,5,7,4,5,3,7,7,7,3,1,3
796,5,6,2,6,6,6,4,-1,3,2,1
797,3,6,5,3,6,7,3,7,2,7,4
798,4,5,3,4,3,3,5,-2,2,2,1
799,3,,,3,,,,,3,,
800,5,7,2,6,5,7,4,0,1,6,1
801,5,5,7,1,3,2,6,-1,3,5,3
802,4,6,3,4,4,2,2,-2,3,7,7
803,2,5,5,6,7,7,7,9,2,5,7
804,5,5,2,6,3,3,5,-1,6,5,1
805,3,7,3,5,5,3,4,8,2,5,1
806,4,4,5,3,5,4,7,-2,3,1,1
807,7,5,1,2,3,2,7,-1,2,7,2
808,1,4,2,6,4,3,5,8,1,5,7
809,6,6,4,1,1,5,5,9,5,7,5
810,3,7,6,1,3,3,3,1,5,7,2
811,6,3,2,4,3,4,5,9,6,6,3
812,7,5,2,6,3,5,5,1,3,6,7
813,4,5,1,7,3,5,6,-1,3,7,4
814,3,3,2,6,5,2,5,1,6,6,4
815,7,7,2,3,5,6,7,9,6,5,4
816,5,5,2,6,3,6,2,-1,5,5,1
817,2,7,5,3,4,5,6,1,3,1,3
818,5,5,6,3,7,4,2,9,5,1,1
819,7,5,3,1,3,2,4,0,5,7,3
820,4,7,2,6,5,7,7,0,3,2,4
821,3,6,1,5,7,5,3,9,5,2,3
822,6,5,2,7,3,4,3,-2,3,5,3
823,6,7,2,2,1,3,2,9,1,5,5
824,1,1,2,6,4,7,7,7,6,2,3
825,3,7,3,7,3,6,6,8,1,2,4
826,1,5,3,1,7,2,6,7,5,7,1
827,7,4,1,4,7,3,4,-2,2,2,6
828,7,5,2,6,3,5,5,1,6,5,3
829,7,4,2,3,4,3,5,9,6,1,7
830,7,7,6,5,5,4,2,1,1,6,2
831,5,5,5,2,3,7,7,8,5,7,4
832,4,4,2,6,2,3,5,-2,2,6,5
833,1,2,3,1,2,7,4,7,6,5,6
834,1,5,6,7,3,7,5,1,5,5,2
835,2,7,3,6,5,2,3,-1,2,6,2
836,6,4,2,6,1,2,2,-1,6,2,2
837,6,5,3,1,3,7,2,7,6,5,1
838,7,4,2,7,6,3,4,-2,2,2,4
839,7,7,6,6,7,7,2,-2,2,5,4
840,2,7,2,6,3,7,7,7,1,2,1
841,4,6,2,2,1,3,4,8,2,5,6
842,5,7,6,4,1,3,3,8,5,6,4
843,4,5,2,4,3,3,7,0,1,1,5
844,6,1,2,6,7,2,3,-1,3,1,3
845,2,7,5,6,5,6,5,9,3,7,4
846,5,5,2,1,3,7,6,9,5,5,7
847,3,6,3,5,7,6,3,7,6,6,6
848,2,3,2,6,7,2,2,8,2,1,1
849,1,5,6,3,3,2,2,1,5,7,5
850,1,7,7,7,5,3,7,1,1,2,3
851,5,6,5,5,6,3,3,7,3,5,7
852,5,5,2,6,3,7,4,9,2,1,5
853,4,4,7,4,2,3,7,-1,3,6,4
854,2,2,3,1,4,6,3,7,6,1,1
855,7,7,1,1,3,3,7,8,5,1,4
856,2,6,2,6,5,4,4,0,5,6,3
857,4,2,1,7,4,2,4,-2,3,5,7
858,2,5,3,2,3,2,2,8,6,5,1
859,7,1,3,2,4,4,2,0,2,7,5
860,1,7,2,6,5,4,2,9,3,6,1
861,4,5,3,5,3,3,7,0,2,7,5
862,1,5,3,2,6,3,6,7,6,2,2
863,2,6,3,4,3,6,4,8,1,2,7
864,6,5,2,6,3,6,4,-2,1,1,6
865,3,7,6,7,5,7,7,8,3,2,3
866,5,7,3,4,2,7,4,9,2,5,5
867,2,5,1,3,3,3,2,-2,2,2,1
868,2,5,2,6,7,5,2,-2,5,2,3
869,2,6,2,7,7,3,4,-2,1,5,3
870,7,7,7,4,3,2,3,9,5,5,2
871,4,1,3,3,2,5,6,7,3,5,4
872,1,3,2,6,2,2,3,8,6,7,2
873,1,5,7,,3,4,4,-1,,1,2
874,2,2,4,6,5,6,5,9,5,2,7
875,2,7,3,2,5,3,2,7,2,7,4
876,4,5,2,6,3,3,3,-2,3,5,5
877,5,3,2,1,1,6,7,-1,3,5,5
878,7,4,1,5,4,2,3,0,5,1,1
879,1,5,3,7,3,2,4,0,1,1,6
880,2,7,2,6,5,4,5,9,5,5,5
881,7,6,7,5,1,5,4,0,5,2,4
882,7,5,3,1,3,3,4,0,2,6,3
883,6,5,2,4,5,2,4,-1,2,5,6
884,7,1,2,6,5,3,4,8,6,6,4
885,1,7,2,6,3,3,3,0,1,5,3
886,3,4,1,2,7,3,4,-1,3,1,7
887,7,6,3,,2,2,4,8,,1,4
888,1,5,2,6,3,2,4,1,3,5,2
889,1,2,3,6,3,2,6,1,6,7,2
890,4,7,5,6,5,5,7,0,1,7,7
891,7,,,1,,,,,5,,
892,6,7,2,6,3,3,5,7,5,5,2
893,1,5,4,6,3,7,3,1,1,2,7
894,1,5,7,4,3,5,3,-2,6,7,1
895,5,7,3,7,5,3,2,8,6,6,7
896,2,3,2,6,1,5,4,9,6,5,4
897,7,5,1,6,3,5,6,-1,3,1,1
898,6,7,3,4,2,4,4,9,5,2,4
899,2,7,4,4,5,5,6,7,6,6,6
900,7,7,2,6,3,4,3,8,3,1,3
901,4,2,1,7,3,3,6,9,5,5,1
902,2,2,2,3,4,4,5,8,2,7,1
903,3,5,3,5,3,7,4,0,1,6,1
904,5,1,2,6,7,3,2,0,1,7,3
905,4,7,5,7,5,7,4,0,6,5,2
906,5,5,1,5,3,3,2,-1,6,7,4
907,3,2,5,2,3,4,7,1,5,2,7
908,3,6,2,6,4,7,4,9,3,1,3
909,2,5,1,1,3,3,4,7,3,1,1
910,6,7,3,3,5,5,4,7,2,7,3
911,3,3,4,6,3,5,2,-2,5,7,7
912,4,5,2,6,3,3,4,9,5,2,3
913,7,1,5,2,2,2,5,0,2,5,2
914,5,5,3,,7,6,3,0,,6,1
915,6,7,5,4,3,4,4,-2,1,2,7
916,4,3,2,6,6,3,7,-1,3,1,5
917,7,1,3,2,4,2,3,-2,2,5,4
918,5,5,2,1,3,3,6,1,2,5,3
919,1,2,1,5,1,6,5,-1,5,7,4
920,2,7,2,6,5,4,2,9,6,7,7
921,7,,,,,,,,,,
922,2,,,6,,,,,3,,
923,1,2,4,7,7,3,4,-2,2,2,3
924,6,5,2,6,3,4,5,9,1,6,3
925,5,7,2,7,5,5,4,9,6,2,2
926,3,2,3,5,3,2,3,-1,3,2,2
927,4,5,6,1,3,7,7,-1,6,7,3
928,7,1,2,6,2,3,6,0,5,6,1
929,2,3,2,1,3,5,6,1,1,1,5
930,6,7,4,1,3,5,3,1,3,1,7
931,6,3,3,1,3,2,3,1,5,6,6
932,6,2,2,6,1,6,4,7,6,6,3
933,5,5,4,4,3,2,2,-1,1,1,1
934,1,4,5,1,6,2,6,-2,5,6,3
935,3,7,2,5,5,3,5,0,3,5,7
936,3,5,2,6,3,3,5,9,3,7,2
937,4,6,5,2,2,3,6,9,1,6,2
938,7,1,3,5,2,7,2,9,1,2,3
939,4,,,5,,,,,3,,
940,1,7,2,6,5,6,7,1,3,2,2
941,2,6,3,7,2,5,3,7,1,6,2
942,7,5,7,6,3,3,4,9,6,1,3
943,6,6,6,2,1,6,3,1,2,6,3
944,4,3,2,6,3,4,4,9,6,7,2
945,2,7,3,1,3,7,4,-2,3,1,6
946,1,1,7,6,3,7,6,7,5,6,1
947,6,6,5,2,3,3,4,8,6,5,3
948,6,5,2,6,3,4,6,-2,3,5,3
949,5,1,7,6,2,2,7,7,3,5,2
950,2,7,7,5,5,4,4,8,2,7,6
951,2,5,7,3,3,4,6,1,3,6,5
952,7,5,2,6,4,6,6,0,6,2,7
953,2,4,6,5,3,2,4,7,1,5,4
954,5,5,4,1,3,5,2,-2,3,6,6
955,2,7,7,7,5,5,5,1,3,1,3
956,7,1,2,6,4,6,6,8,3,7,6
957,5,5,1,7,3,3,4,9,2,1,5
958,1,7,6,4,5,2,6,0,2,7,2
959,4,3,3,7,7,2,4,-1,1,2,2
960,2,7,2,6,3,2,6,-1,5,1,7
961,2,1,1,2,5,4,7,1,5,2,6
962,7,6,5,6,1,6,2,-2,6,2,1
963,7,5,3,1,3,3,3,1,5,6,5
964,5,3,2,6,2,7,4,7,1,7,4
965,6,7,1,3,5,3,3,8,3,6,4
966,7,5,3,4,3,2,7,-1,6,7,2
967,7,4,3,3,6,7,3,1,1,1,3
968,6,6,2,6,2,2,3,9,1,6,2
969,3,5,7,2,3,6,6,-2,2,6,5
970,3,7,3,6,5,2,4,8,1,5,7
971,6,7,4,1,3,2,2,9,3,2,6
972,1,5,2,6,3,7,2,8,1,1,7
973,2,2,3,3,4,3,5,-2,1,7,6
974,5,4,6,3,5,3,5,8,6,2,7
975,1,7,3,2,3,2,5,1,1,7,5
976,2,3,2,6,5,4,6,9,6,2,1
977,3,7,1,5,4,3,7,0,1,6,2
978,1,5,7,7,3,3,3,1,1,2,1
979,3,2,3,3,6,4,2,9,1,6,1
980,7,7,2,6,5,6,7,9,6,2,1
981,2,5,6,1,3,6,4,9,6,5,7
982,5,7,1,7,3,5,4,9,1,5,5
983,5,7,3,5,7,3,6,8,3,7,3
984,2,5,2,6,3,3,6,8,5,2,4
985,6,7,1,7,5,4,3,0,1,5,1
986,4,4,2,3,6,4,2,9,1,5,1
987,6,5,3,3,3,5,5,9,2,1,2
988,2,1,2,6,2,6,4,0,3,6,6
989,2,4,2,5,5,4,4,-2,5,2,5
990,2,7,2,1,3,5,5,1,2,1,3
991,6,3,2,2,7,3,6,0,1,6,1
992,6,7,2,6,3,2,2,8,6,7,5
993,5,5,6,6,3,2,6,8,5,1,6
994,7,4,3,,7,6,3,0,,6,7
995,1,7,3,4,5,3,6,7,2,5,7
996,1,5,2,6,3,2,3,0,6,1,1
997,5,5,2,2,6,3,4,0,2,5,3
998,7,3,4,4,7,2,3,-2,2,6,7
999,3,5,2,1,3,2,5,7,1,7,6
1000,3,7,2,6,5,2,4,-1,1,1,5
